Dataset,Run_ID,Variant,Variant_Raw,Taildrop_Pct,Model,N_Seeds,Seeds,Number_Users,Number_Items,Number_Interactions,Density,Sparsity,Avg_User_Degree,Avg_Item_Degree,Precision@10_mean,Precision@10_sd,Precision@10_text,Recall@10_mean,Recall@10_sd,Recall@10_text,NDCG@10_mean,NDCG@10_sd,NDCG@10_text,MRR@10_mean,MRR@10_sd,MRR@10_text,Coverage@10_mean,Coverage@10_sd,Coverage@10_text,CatalogItems_mean,CatalogItems_sd,CatalogItems_text,UniqueRecItems@10_mean,UniqueRecItems@10_sd,UniqueRecItems@10_text,ItemCV@10_mean,ItemCV@10_sd,ItemCV@10_text,UserCoverage@10_mean,UserCoverage@10_sd,UserCoverage@10_text,EEL@10_mean,EEL@10_sd,EEL@10_text,RecGini_mean,RecGini_sd,RecGini_text,RecEntropy_mean,RecEntropy_sd,RecEntropy_text,1-Gini@10_mean,1-Gini@10_sd,1-Gini@10_text,ARP@10_mean,ARP@10_sd,ARP@10_text,APLT@10_mean,APLT@10_sd,APLT@10_text,LTShare@10_mean,LTShare@10_sd,LTShare@10_text,EPC@10_mean,EPC@10_sd,EPC@10_text,EFD@10_mean,EFD@10_sd,EFD@10_text,EPC_rel@10_mean,EPC_rel@10_sd,EPC_rel@10_text,EFD_rel@10_mean,EFD_rel@10_sd,EFD_rel@10_text,ILS_mean,ILS_sd,ILS_text,Diversity_mean,Diversity_sd,Diversity_text
MovieLens 20M,ml20m_aggtail_20260512_144923,TD80,aggtail_td80,0.80,BPR,3,"42,43,44",20000,4144,1390956,0.01678277,0.98321723,69.5478,335.6554054054,0.0205716667,0.0000757188,0.0206 ± 0.0001,0.2057166667,0.0007571878,0.2057 ± 0.0008,0.1061184607,0.0001517721,0.1061 ± 0.0002,0.0761390476,0.000409079,0.0761 ± 0.0004,0.4826254826,0.001276907,0.4826 ± 0.0013,4144,0,4144.0000 ± 0.0000,2000,5.2915026221,2000.0000 ± 5.2915,4.4158503817,0.0238942244,4.4159 ± 0.0239,0.2057166667,0.0007571878,0.2057 ± 0.0008,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000
MovieLens 20M,ml20m_aggtail_20260512_144923,TD80,aggtail_td80,0.80,ItemKNN,3,"42,43,44",20000,4144,1390956,0.01678277,0.98321723,69.5478,335.6554054054,0.024505,0.00013,0.0245 ± 0.0001,0.24505,0.0013,0.2450 ± 0.0013,0.1292346921,0.0003418184,0.1292 ± 0.0003,0.0942215873,0.0004195203,0.0942 ± 0.0004,0.7011743887,0.0032940147,0.7012 ± 0.0033,4144,0,4144.0000 ± 0.0000,2905.6666666667,13.6503968196,2905.6667 ± 13.6504,3.4563645142,0.0062057696,3.4564 ± 0.0062,0.24505,0.0013,0.2450 ± 0.0013,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000
MovieLens 20M,ml20m_aggtail_20260512_144923,TD80,aggtail_td80,0.80,LightGCN,3,"42,43,44",20000,4144,1390956,0.01678277,0.98321723,69.5478,335.6554054054,0.02056,0.0004080747,0.0206 ± 0.0004,0.2056,0.0040807475,0.2056 ± 0.0041,0.1036392252,0.0018162648,0.1036 ± 0.0018,0.0730052183,0.0011296015,0.0730 ± 0.0011,0.3833655084,0.0054886493,0.3834 ± 0.0055,4144,0,4144.0000 ± 0.0000,1588.6666666667,22.7449628123,1588.6667 ± 22.7450,4.2801634729,0.0046238029,4.2802 ± 0.0046,0.2056,0.0040807475,0.2056 ± 0.0041,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000
MovieLens 20M,ml20m_aggtail_20260512_144923,TD80,aggtail_td80,0.80,NeuMF,3,"42,43,44",20000,4144,1390956,0.01678277,0.98321723,69.5478,335.6554054054,0.0236183333,0.0002371884,0.0236 ± 0.0002,0.2361833333,0.0023718839,0.2362 ± 0.0024,0.1187516299,0.0006233254,0.1188 ± 0.0006,0.0834880357,0.0001757345,0.0835 ± 0.0002,0.836470399,0.0188074347,0.8365 ± 0.0188,4144,0,4144.0000 ± 0.0000,3466.3333333333,77.9380095546,3466.3333 ± 77.9380,2.4750756676,0.1584153094,2.4751 ± 0.1584,0.2361833333,0.0023718839,0.2362 ± 0.0024,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000
MovieLens 20M,ml20m_aggtail_20260512_144923,TD80,aggtail_td80,0.80,MultiVAE,3,"42,43,44",20000,4144,1390956,0.01678277,0.98321723,69.5478,335.6554054054,0.0130416667,0.0000665833,0.0130 ± 0.0001,0.1304166667,0.0006658328,0.1304 ± 0.0007,0.0701078161,0.0004548243,0.0701 ± 0.0005,0.0518672553,0.0005228238,0.0519 ± 0.0005,0.0764157014,0.0009752538,0.0764 ± 0.0010,4144,0,4144.0000 ± 0.0000,316.6666666667,4.0414518843,316.6667 ± 4.0415,7.8888952487,0.0096806554,7.8889 ± 0.0097,0.1304166667,0.0006658328,0.1304 ± 0.0007,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000
Online Retail,online_retail_aggtail_20260512_145038,TD40,aggtail_td40,0.40,BPR,3,"42,43,44",4174,2199,252922,0.02755554,0.97244446,60.5946334451,115.0168258299,0.0164829899,0.0005887976,0.0165 ± 0.0006,0.1648298994,0.0058879759,0.1648 ± 0.0059,0.0922756176,0.0015849575,0.0923 ± 0.0016,0.070104806,0.0037003531,0.0701 ± 0.0037,0.437471578,0.0199728888,0.4375 ± 0.0200,2199,0,2199.0000 ± 0.0000,962,43.920382512,962.0000 ± 43.9204,4.1604051137,0.1601701369,4.1604 ± 0.1602,0.1648298994,0.0058879759,0.1648 ± 0.0059,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000
Online Retail,online_retail_aggtail_20260512_145038,TD40,aggtail_td40,0.40,ItemKNN,3,"42,43,44",4174,2199,252922,0.02755554,0.97244446,60.5946334451,115.0168258299,0.0250598946,0.0002088596,0.0251 ± 0.0002,0.2505989459,0.0020885956,0.2506 ± 0.0021,0.1463612734,0.0001448362,0.1464 ± 0.0001,0.1145237715,0.000794685,0.1145 ± 0.0008,0.8972260118,0.0064150687,0.8972 ± 0.0064,2199,0,2199.0000 ± 0.0000,1973,14.1067359797,1973.0000 ± 14.1067,1.5332945439,0.0033760735,1.5333 ± 0.0034,0.2505989459,0.0020885956,0.2506 ± 0.0021,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000
Online Retail,online_retail_aggtail_20260512_145038,TD40,aggtail_td40,0.40,LightGCN,3,"42,43,44",4174,2199,252922,0.02755554,0.97244446,60.5946334451,115.0168258299,0.0151812809,0.0004535145,0.0152 ± 0.0005,0.1518128095,0.0045351448,0.1518 ± 0.0045,0.0839323645,0.0042505712,0.0839 ± 0.0043,0.0631458791,0.0044648359,0.0631 ± 0.0045,0.3306048204,0.0056980282,0.3306 ± 0.0057,2199,0,2199.0000 ± 0.0000,727,12.5299640861,727.0000 ± 12.5300,4.435174703,0.1163278265,4.4352 ± 0.1163,0.1518128095,0.0045351448,0.1518 ± 0.0045,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000
Online Retail,online_retail_aggtail_20260512_145038,TD40,aggtail_td40,0.40,NeuMF,3,"42,43,44",4174,2199,252922,0.02755554,0.97244446,60.5946334451,115.0168258299,0.0172656125,0.000534283,0.0173 ± 0.0005,0.1726561252,0.0053428298,0.1727 ± 0.0053,0.090071326,0.0030770489,0.0901 ± 0.0031,0.0651326998,0.0026272145,0.0651 ± 0.0026,0.8375018948,0.0137733111,0.8375 ± 0.0138,2199,0,2199.0000 ± 0.0000,1841.6666666667,30.2875111776,1841.6667 ± 30.2875,1.8148757814,0.0448770804,1.8149 ± 0.0449,0.1726561252,0.0053428298,0.1727 ± 0.0053,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000
Online Retail,online_retail_aggtail_20260512_145038,TD40,aggtail_td40,0.40,MultiVAE,3,"42,43,44",4174,2199,252922,0.02755554,0.97244446,60.5946334451,115.0168258299,0.0141111644,0.0000479157,0.0141 ± 0.0000,0.1411116435,0.0004791567,0.1411 ± 0.0005,0.0659125777,0.0094954427,0.0659 ± 0.0095,0.0429171959,0.012115398,0.0429 ± 0.0121,0.0424435349,0.0006946454,0.0424 ± 0.0007,2199,0,2199.0000 ± 0.0000,93.3333333333,1.5275252317,93.3333 ± 1.5275,8.6329180716,0.0126422148,8.6329 ± 0.0126,0.1411116435,0.0004791567,0.1411 ± 0.0005,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000
